type,title,timeframe,subject,size,rights,uri,publisher,description,local expert
text,Extracted Features       ,ca. 1500-2010,,13.6 million vols,CC BY 4.0,http://dx.doi.org/10.13012/J8X63JT3,HathiTrust Research Center,"The Extracted Features (EF) dataset contains features derived for every page of 13.6 million volumes in HathiTrust, including part-of-speech tagged token counts, header and footer identification, and various line-level information.",Francesca Giannetti
text,Linguistic Data Consortium (LDC) corpora,1993-2011,,,"Data may be reused by affiliates of Rutgers University only for non-commercial education, research and technology development purposes only.",https://salts.rutgers.edu/ldc-corpora/,SALTS Lab: Laboratory for the Study of Applied Language Technology and Society,"A collection of linguistic corpora that includes sources as varied as newswire text data, research articles, emails, and telephone conversations.",Nina Wacholder
text; images,Spectator,18th century,Culture,,public domain,http://spectator.libraries.rutgers.edu/,Rutgers University Libraries,"The Spectator (1711-14), by Joseph Addison and Richard Steele, was an extremely innovative publication; it was enormously influential, not only in the content of its speculations on aesthetics, literary style, and urban life, but also as a medium. ",Ron Jantz; Jeffery Triggs
text,JSTOR Data for Research,,,,http://about.jstor.org/terms,http://dfr.jstor.org/,JSTOR,"""Data for Research is a free service for researchers wishing to analyze content on JSTOR through a variety of lenses and perspectives. DfR enables researchers to find useful patterns, associations and unforeseen relationships in the body of research available in the journal and pamphlet archives on JSTOR. To this end we provide data sets of documents to researchers: OCR, metadata, Key Terms, N-grams and reference text.""",
text,Past Masters,ca. 400 BCE - 19th century,Philosophy; Classics,,Access limited to current Rutgers affiliates only. Cite InteLex Past Masters editions where appropriate. ,http://www2.scc.rutgers.edu/ead/rutgers/,InteLex,TEI P5 encoded versions of the Past Masters texts. Reading editions available at http://www.libraries.rutgers.edu/indexes/past-masters. Contact local expert for login credentials.,Francesca Giannetti; Ron Jantz
text,Peter Still Papers,19th century,Slavery; African Americans,,public domain,https://github.com/giannetti/peter-still,,"Correspondence (1850-1875), chiefly relating to Still's campaign to purchase his wife, Vina Still, and family held as slaves in Alabama and the publication (1856) of Kate E. R. Picard's biography, The Kidnapped and the Ransomed; memo book (1853-1854) of funds collected; and Still family record (1798-1821). Persons and places represented include William Lloyd Garrison, Horace Greeley, Harriet Beecher Stowe, and Cortlandt Van Rensselaer, and Burlington, NJ, and Philadelphia, PA. 57 items. ",Caryn Radick; Francesca Giannetti
text,Medical Society of New Jersey publications,1848-1903,History of medicine,,public domain,https://www.libraries.rutgers.edu/history_of_medicine/new_jersey_medical_reporter,Rutgers University Libraries,"The New Jersey Medical Reporter was founded in 1847 by Dr. Joseph Parrish, and was published in Burlington, N.J. from 1847 to 1857. Historian of medicine David Cowen considered the Reporter to be the first professional journal of substance in New Jersey.",Bob Vietrogoski
text,New Jersey College of Medicine and Dentistry medical school site hearings,1968,History of Newark; History of medicine,,,https://www.libraries.rutgers.edu/history_of_medicine/newark_site_hearings,Rutgers University Libraries,"Transcripts of public hearings held in February and March of 1968 regarding the establishment of a proposed medical school in Newark, soon to become the New Jersey College of Medicine and Dentistry.",Bob Vietrogoski
text; statistical,New Jersey health statistics,1877-2000,History of New Jersey; History of medicine,,public domain,https://www.libraries.rutgers.edu/history_of_medicine/NJHS/nj_state_health_statistics,Rutgers University Libraries,"This compendium is an enormous archive of official annual reports on the health of New Jersey, including extensive compilations of population-based health statistics, which covers over 45,000 pages of original content in the 141 separate documents that it incorporates.",Bob Vietrogoski
networks,Network datasets,,,,,http://kateto.net/2016/05/network-datasets/,,"A list of open online repositories of network datasets, collected by Katherine Ognyanova of Rutgers SC&I.",Katherine Ognyanova 
web archives,ArchiveHub,1995-2017,Political science; Meteorology,,,http://archivehub.rutgers.edu/downloads/,Rutgers School of Communication and Information,"This NSF supported project is based around a community of social science researchers focused on tackling next-generational questions of Internet research using the Internet Archive (IA), the largest single record of the history of the World Wide Web, dating from 1995 to the present.",Matthew Weber
maps,Maps of New Jersey,1700-2012,City planning; Environmental sciences; Cartography; Geology; Geography,,,http://njmaps.libraries.rutgers.edu/,Rutgers University Libraries,"The Maps of New Jersey portal provides a single point of access to the multiple digital map collections residing within: Rutgers University Libraries’ Special Collections and University Archives, the New Jersey Environmental Digital Library and New Jersey Digital Highway, a state-wide history portal.",
coins,Badian Collection: Coins of the Roman Republic,281-46 BCE,"Coins, Roman",,public domain,https://rucore.libraries.rutgers.edu/portals/romancoins/,Rutgers University Libraries,"The Ernst Badian Collection of Roman Republican Coins is composed of more than 1200 coins, documenting the emergence of coinage and a money economy in Rome and developments down through the late Republic. ",Ron Jantz
